raman_shift,raw_intensity,spike_candidate,processed_intensity
300.028,158.0,False,0.27335640138408307
300.341,168.0,False,0.2906574394463668
300.653,162.0,False,0.28027681660899656
300.966,178.0,False,0.3079584775086505
301.281,146.0,False,0.25259515570934254
301.594,158.0,False,0.27335640138408307
301.906,154.0,False,0.2664359861591695
302.219,144.0,False,0.2491349480968858
302.532,170.0,False,0.29411764705882354
302.844,146.0,False,0.25259515570934254
303.157,176.0,False,0.3044982698961938
303.469,158.0,False,0.27335640138408307
303.782,154.0,False,0.2664359861591695
304.097,136.0,False,0.23529411764705882
304.409,154.0,False,0.2664359861591695
304.722,164.0,False,0.2837370242214533
305.035,156.0,False,0.2698961937716263
305.347,174.0,False,0.30103806228373703
305.66,162.0,False,0.28027681660899656
305.972,174.0,False,0.30103806228373703
306.285,172.0,False,0.2975778546712803
306.597,146.0,False,0.25259515570934254
306.91,170.0,False,0.29411764705882354
307.224,182.0,False,0.314878892733564
307.537,164.0,False,0.2837370242214533
307.849,174.0,False,0.30103806228373703
308.162,164.0,False,0.2837370242214533
308.474,162.0,False,0.28027681660899656
308.787,160.0,False,0.2768166089965398
309.099,164.0,False,0.2837370242214533
309.411,180.0,False,0.31141868512110726
309.724,180.0,False,0.31141868512110726
310.036,158.0,False,0.27335640138408307
310.349,162.0,False,0.28027681660899656
310.661,174.0,False,0.30103806228373703
310.973,168.0,False,0.2906574394463668
311.286,164.0,False,0.2837370242214533
311.6,184.0,False,0.31833910034602075
311.913,180.0,False,0.31141868512110726
312.225,174.0,False,0.30103806228373703
312.537,174.0,False,0.30103806228373703
312.85,160.0,False,0.2768166089965398
313.162,180.0,False,0.31141868512110726
313.474,166.0,False,0.28719723183391005
313.786,180.0,False,0.31141868512110726
314.099,184.0,False,0.31833910034602075
314.411,176.0,False,0.3044982698961938
314.723,166.0,False,0.28719723183391005
315.035,170.0,False,0.29411764705882354
315.348,170.0,False,0.29411764705882354
315.66,160.0,False,0.2768166089965398
315.972,188.0,False,0.32525951557093424
316.284,200.0,False,0.3460207612456747
316.596,164.0,False,0.2837370242214533
316.909,156.0,False,0.2698961937716263
317.221,178.0,False,0.3079584775086505
317.533,162.0,False,0.28027681660899656
317.845,166.0,False,0.28719723183391005
318.157,186.0,False,0.3217993079584775
318.469,168.0,False,0.2906574394463668
318.781,184.0,False,0.31833910034602075
319.093,162.0,False,0.28027681660899656
319.405,178.0,False,0.3079584775086505
319.718,168.0,False,0.2906574394463668
320.03,150.0,False,0.25951557093425603
320.342,156.0,False,0.2698961937716263
320.654,182.0,False,0.314878892733564
320.966,168.0,False,0.2906574394463668
321.278,174.0,False,0.30103806228373703
321.59,192.0,False,0.33217993079584773
321.902,182.0,False,0.314878892733564
322.214,166.0,False,0.28719723183391005
322.526,172.0,False,0.2975778546712803
322.838,142.0,False,0.24567474048442905
323.15,172.0,False,0.2975778546712803
323.462,156.0,False,0.2698961937716263
323.774,172.0,False,0.2975778546712803
324.086,190.0,False,0.328719723183391
324.397,160.0,False,0.2768166089965398
324.709,176.0,False,0.3044982698961938
325.021,172.0,False,0.2975778546712803
325.333,150.0,False,0.25951557093425603
325.645,168.0,False,0.2906574394463668
325.957,160.0,False,0.2768166089965398
326.269,150.0,False,0.25951557093425603
326.581,166.0,False,0.28719723183391005
326.892,166.0,False,0.28719723183391005
327.204,154.0,False,0.2664359861591695
327.516,162.0,False,0.28027681660899656
327.828,162.0,False,0.28027681660899656
328.14,154.0,False,0.2664359861591695
328.451,158.0,False,0.27335640138408307
328.763,170.0,False,0.29411764705882354
329.075,150.0,False,0.25951557093425603
329.387,152.0,False,0.2629757785467128
329.696,174.0,False,0.30103806228373703
330.008,136.0,False,0.23529411764705882
330.32,168.0,False,0.2906574394463668
330.631,160.0,False,0.2768166089965398
330.943,146.0,False,0.25259515570934254
331.255,158.0,False,0.27335640138408307
331.566,138.0,False,0.23875432525951557
331.878,182.0,False,0.314878892733564
332.19,150.0,False,0.25951557093425603
332.501,150.0,False,0.25951557093425603
332.813,168.0,False,0.2906574394463668
333.125,156.0,False,0.2698961937716263
333.436,162.0,False,0.28027681660899656
333.748,160.0,False,0.2768166089965398
334.057,158.0,False,0.27335640138408307
334.369,152.0,False,0.2629757785467128
334.681,164.0,False,0.2837370242214533
334.992,146.0,False,0.25259515570934254
335.304,158.0,False,0.27335640138408307
335.615,154.0,False,0.2664359861591695
335.927,140.0,False,0.2422145328719723
336.238,158.0,False,0.27335640138408307
336.55,156.0,False,0.2698961937716263
336.861,170.0,False,0.29411764705882354
337.173,146.0,False,0.25259515570934254
337.482,166.0,False,0.28719723183391005
337.794,162.0,False,0.28027681660899656
338.105,154.0,False,0.2664359861591695
338.416,154.0,False,0.2664359861591695
338.728,138.0,False,0.23875432525951557
339.039,156.0,False,0.2698961937716263
339.351,158.0,False,0.27335640138408307
339.662,162.0,False,0.28027681660899656
339.974,162.0,False,0.28027681660899656
340.283,164.0,False,0.2837370242214533
340.594,170.0,False,0.29411764705882354
340.906,158.0,False,0.27335640138408307
341.217,154.0,False,0.2664359861591695
341.528,144.0,False,0.2491349480968858
341.84,174.0,False,0.30103806228373703
342.151,160.0,False,0.2768166089965398
342.46,162.0,False,0.28027681660899656
342.771,148.0,False,0.2560553633217993
343.083,150.0,False,0.25951557093425603
343.394,156.0,False,0.2698961937716263
343.705,148.0,False,0.2560553633217993
344.016,160.0,False,0.2768166089965398
344.328,150.0,False,0.25951557093425603
344.637,164.0,False,0.2837370242214533
344.948,164.0,False,0.2837370242214533
345.259,170.0,False,0.29411764705882354
345.571,168.0,False,0.2906574394463668
345.882,150.0,False,0.25951557093425603
346.193,152.0,False,0.2629757785467128
346.502,156.0,False,0.2698961937716263
346.813,146.0,False,0.25259515570934254
347.124,170.0,False,0.29411764705882354
347.435,156.0,False,0.2698961937716263
347.747,172.0,False,0.2975778546712803
348.058,180.0,False,0.31141868512110726
348.367,168.0,False,0.2906574394463668
348.678,160.0,False,0.2768166089965398
348.989,164.0,False,0.2837370242214533
349.3,144.0,False,0.2491349480968858
349.611,146.0,False,0.25259515570934254
349.922,160.0,False,0.2768166089965398
350.231,160.0,False,0.2768166089965398
350.542,178.0,False,0.3079584775086505
350.853,166.0,False,0.28719723183391005
351.164,166.0,False,0.28719723183391005
351.475,166.0,False,0.28719723183391005
351.784,174.0,False,0.30103806228373703
352.095,158.0,False,0.27335640138408307
352.406,144.0,False,0.2491349480968858
352.717,168.0,False,0.2906574394463668
353.028,156.0,False,0.2698961937716263
353.337,152.0,False,0.2629757785467128
353.648,168.0,False,0.2906574394463668
353.959,152.0,False,0.2629757785467128
354.27,156.0,False,0.2698961937716263
354.58,146.0,False,0.25259515570934254
354.889,148.0,False,0.2560553633217993
355.2,170.0,False,0.29411764705882354
355.511,168.0,False,0.2906574394463668
355.822,158.0,False,0.27335640138408307
356.131,176.0,False,0.3044982698961938
356.441,168.0,False,0.2906574394463668
356.752,154.0,False,0.2664359861591695
357.063,156.0,False,0.2698961937716263
357.372,174.0,False,0.30103806228373703
357.683,154.0,False,0.2664359861591695
357.993,158.0,False,0.27335640138408307
358.304,160.0,False,0.2768166089965398
358.615,154.0,False,0.2664359861591695
358.924,160.0,False,0.2768166089965398
359.234,172.0,False,0.2975778546712803
359.545,164.0,False,0.2837370242214533
359.856,170.0,False,0.29411764705882354
360.164,140.0,False,0.2422145328719723
360.475,170.0,False,0.29411764705882354
360.786,154.0,False,0.2664359861591695
361.096,150.0,False,0.25951557093425603
361.405,156.0,False,0.2698961937716263
361.716,162.0,False,0.28027681660899656
362.026,166.0,False,0.28719723183391005
362.335,164.0,False,0.2837370242214533
362.646,154.0,False,0.2664359861591695
362.956,164.0,False,0.2837370242214533
363.267,158.0,False,0.27335640138408307
363.575,170.0,False,0.29411764705882354
363.886,168.0,False,0.2906574394463668
364.196,188.0,False,0.32525951557093424
364.507,154.0,False,0.2664359861591695
364.815,160.0,False,0.2768166089965398
365.126,168.0,False,0.2906574394463668
365.437,168.0,False,0.2906574394463668
365.745,166.0,False,0.28719723183391005
366.055,160.0,False,0.2768166089965398
366.366,166.0,False,0.28719723183391005
366.676,156.0,False,0.2698961937716263
366.985,176.0,False,0.3044982698961938
367.295,180.0,False,0.31141868512110726
367.606,160.0,False,0.2768166089965398
367.914,186.0,False,0.3217993079584775
368.225,172.0,False,0.2975778546712803
368.535,166.0,False,0.28719723183391005
368.843,172.0,False,0.2975778546712803
369.154,172.0,False,0.2975778546712803
369.464,170.0,False,0.29411764705882354
369.775,180.0,False,0.31141868512110726
370.083,176.0,False,0.3044982698961938
370.393,190.0,False,0.328719723183391
370.704,174.0,False,0.30103806228373703
371.012,172.0,False,0.2975778546712803
371.322,170.0,False,0.29411764705882354
371.633,196.0,False,0.3391003460207612
371.941,172.0,False,0.2975778546712803
372.251,192.0,False,0.33217993079584773
372.561,188.0,False,0.32525951557093424
372.87,186.0,False,0.3217993079584775
373.18,188.0,False,0.32525951557093424
373.49,174.0,False,0.30103806228373703
373.798,202.0,False,0.3494809688581315
374.109,180.0,False,0.31141868512110726
374.419,196.0,False,0.3391003460207612
374.727,166.0,False,0.28719723183391005
375.037,186.0,False,0.3217993079584775
375.347,180.0,False,0.31141868512110726
375.655,186.0,False,0.3217993079584775
375.966,192.0,False,0.33217993079584773
376.274,192.0,False,0.33217993079584773
